Time (s),Target RTD,Measured RTD,PWM (%)
14.346324443817139,150.0,142.16,51.0
14.35443115234375,150.0,139.33,59.2
14.360451936721802,150.0,140.46,56.0
14.370584487915039,150.0,140.46,56.0
14.380815029144287,150.0,141.31,53.6
14.390849113464355,150.0,140.88,54.8
14.400930643081665,150.0,139.33,59.3
14.41101336479187,150.0,139.89,57.7
14.421039342880249,150.0,140.6,55.7
14.430656909942627,150.0,140.46,56.2
14.453641891479492,150.0,141.59,52.9
14.455997705459595,150.0,139.89,57.8
14.464066743850708,150.0,141.02,54.6
14.4710853099823,150.0,139.33,59.5
14.481381893157959,150.0,141.02,54.6
14.490837097167969,150.0,141.59,53.0
14.500879049301147,150.0,141.59,53.0
14.51112985610962,150.0,141.59,53.0
14.520459175109863,150.0,140.46,56.4
14.531275272369385,150.0,141.59,53.1
14.541301488876343,150.0,141.02,54.8
14.56335973739624,150.0,140.46,56.4
14.566368341445923,150.0,140.46,56.4
14.57346248626709,150.0,139.89,58.1
14.58048152923584,150.0,141.45,53.6
14.59151029586792,150.0,141.88,52.4
14.600534439086914,150.0,140.46,56.5
14.610559701919556,150.0,141.88,52.4
14.621029138565063,150.0,140.74,55.8
14.630609035491943,150.0,141.59,53.3
14.640645742416382,150.0,141.59,53.3
14.650915145874023,150.0,141.02,55.0
14.67263650894165,150.0,142.16,51.7
14.674753904342651,150.0,141.45,53.8
14.683036804199219,150.0,141.59,53.4
14.691149950027466,150.0,140.88,55.5
14.700664043426514,150.0,140.46,56.7
14.710745573043823,150.0,140.46,56.8
14.720780372619629,150.0,141.59,53.5
14.730380535125732,150.0,140.46,56.8
14.740437507629395,150.0,140.46,56.8
14.750467777252197,150.0,140.74,56.0
14.760942697525024,150.0,141.02,55.2
14.77945852279663,150.0,141.74,53.2
14.784579277038574,150.0,139.89,58.6
14.792149543762207,150.0,141.02,55.3
14.801357507705688,150.0,141.59,53.7
14.810380935668945,150.0,140.46,57.0
14.82047724723816,150.0,140.74,56.2
14.831022262573242,150.0,141.59,53.7
14.841130495071411,150.0,141.74,53.4
14.851279735565186,150.0,140.46,57.1
14.861334085464478,150.0,140.6,56.7
14.871386766433716,150.0,139.89,58.8
14.885810375213623,150.0,142.16,52.2
14.89364242553711,150.0,141.59,53.9
14.902115106582642,150.0,140.46,57.2
